y,pois_y,lambda,ones,x1,prob_y,x2
0,0,0.2702161321760864,1,-0.6759173690961864,0.21273240461303408,2.3787881309778123
1,1,0.6758279030224379,1,-0.3512620524249422,0.4032800156886928,0.6757975038235906
0,2,1.4654415057659813,1,0.9340672663262033,0.5943931349978174,3.451425055725798
0,0,0.852757659482186,1,-0.10978560392190093,0.4602640043709317,0.9068262357518444
1,8,6.651887072595181,1,0.896560112948313,0.8693132830486422,-1.7473348118075192
0,1,0.838067449497556,1,-0.2110827853186747,0.4559503241987368,0.542677371433937
1,0,0.47026090197981757,1,-0.9149021808767567,0.3198486073774904,-0.46386699465459336
0,2,0.5245636351886578,1,-1.3416221092263056,0.34407460802627987,-2.606130344863164
0,0,0.3131460838218337,1,-0.8479412357433183,0.2384701044916805,1.1705297705597342
1,5,5.763526000788599,1,1.5224197265984152,0.8521481251223986,1.338250726382327
0,0,0.3508231362596937,1,-1.054069869223649,0.25971063630956975,-0.06704756240137527
0,0,0.06401716544508208,1,-2.411525974674062,0.06016553823011256,-0.052678156125421954
1,0,0.970337413341257,1,-0.7607905309505932,0.4924727139479015,-2.2362558150786103
0,0,0.07288076982937759,1,-2.2704060600981952,0.06792998055223598,0.1030762933059214
0,0,0.33650506206885217,1,-1.3468701602583983,0.25177986348061926,-1.1481520453591525
0,2,0.8977350717177125,1,-0.15808710740211676,0.4730560577695063,0.5342379677108449
0,1,1.1635104155256475,1,0.08045253835544458,0.5377882200964401,0.6637467244425374
0,2,1.7892964704597367,1,0.7715946536265587,0.6414866578040095,2.108902692336895
1,7,7.365302668837431,1,1.598574531606063,0.8804585990982471,0.8381267329074039
1,4,2.341519985859,1,0.3470816772728584,0.7007349935861804,-0.5564939616929117
1,0,0.8327178386720653,1,0.5139405711820112,0.45436227066760515,3.584953790865397
0,0,0.528529086710602,1,-0.43842505405498594,0.3457762703410491,1.1320870708942081
0,1,1.3679031205846413,1,-0.28570844639173926,0.5776854250045934,-1.401381854654062
0,0,0.17597248412655503,1,-0.4900435901284291,0.14963996734775414,4.5829104956529285
0,0,0.21082295082864297,1,-1.4510444781845582,0.17411542346828118,-0.023563347960040802
1,7,3.82138704335344,1,0.21184274317154084,0.7925908061294192,-2.7527000936779356
1,0,0.4558094099696589,1,-0.33247674898506385,0.3130968977451235,2.066948603997162
0,0,0.32163772035029575,1,-0.8965476678499045,0.24336299985827184,0.878816246987986
0,0,0.1855062309032086,1,-0.6435949218914567,0.15647849506609163,3.7672438511991357
0,0,0.21736480874689695,1,-1.2598745147962553,0.17855355041077864,0.6711168239731543
0,5,4.19712471598738,1,0.22669114295233841,0.8075859143953573,-3.003452569092021
0,0,1.1408783979900305,1,-0.1799360889915217,0.5329020083817686,-0.3557286716560743
0,0,0.6918278210255486,1,-0.8179415145276683,0.4089233032036191,-1.3466957509633222
1,2,1.7391965426961613,1,-0.2275838690804281,0.6349294457652495,-1.9596769528772493
1,1,0.7180792677324869,1,-0.6247774967530848,0.4179546783543955,-0.6659885188511832
1,1,0.1269512952571744,1,-1.0095529251207098,0.11265020572890301,3.5067020386344527
0,1,2.882436674531198,1,0.28163997186564144,0.7424297976165317,-1.5219534638265468
1,6,5.698935824908289,1,0.5828173076950502,0.8507225586067336,-2.539192751356849
